City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2022-10-18 00:22:37,-33.65,115.3333,56.14,75,1,4.65
1,Byron Bay,AU,2022-10-18 00:23:07,-28.65,153.6167,68.7,77,84,7.7
2,Margate,GB,2022-10-18 00:24:28,51.3813,1.3862,54.3,91,85,1.01
3,Cape Town,ZA,2022-10-18 00:11:52,-33.9258,18.4232,63.91,75,83,8.99
4,Strelka,RU,2022-10-18 00:24:28,58.0728,93.0344,35.28,98,100,6.62
5,Saint-Philippe,RE,2022-10-18 00:24:29,-21.3585,55.7679,65.79,80,39,8.52
6,Batagay,RU,2022-10-18 00:24:29,67.6333,134.6333,7.48,99,97,1.57
7,Sabang,ID,2022-10-18 00:24:29,5.8933,95.3214,80.51,78,100,18.61
8,Qaanaaq,GL,2022-10-18 00:24:30,77.484,-69.3632,6.1,74,100,4.68
9,Ushuaia,AR,2022-10-18 00:21:25,-54.8,-68.3,44.26,81,100,12.66
10,Nikolskoye,RU,2022-10-18 00:21:24,59.7035,30.7861,48.09,89,100,7.92
11,Rikitea,PF,2022-10-18 00:19:59,-23.1203,-134.9692,68.68,68,31,18.25
12,Yellowknife,CA,2022-10-18 00:22:27,62.456,-114.3525,45.12,70,20,12.66
13,Chuy,UY,2022-10-18 00:23:48,-33.6971,-53.4616,59.52,78,45,13.85
14,Miyazu,JP,2022-10-18 00:24:31,35.5333,135.1833,55.6,90,100,11.95
15,Puerto Ayora,EC,2022-10-18 00:14:05,-0.7393,-90.3518,66.54,85,87,1.99
16,Butaritari,KI,2022-10-18 00:24:31,3.0707,172.7902,81.88,74,27,18.12
17,Launceston,AU,2022-10-18 00:24:31,-41.45,147.1667,58.8,67,75,11.5
18,Hermanus,ZA,2022-10-18 00:24:32,-34.4187,19.2345,57.79,91,80,5.64
19,Bluff,NZ,2022-10-18 00:24:32,-46.6,168.3333,48.61,65,70,24.74
20,Esperance,AU,2022-10-18 00:16:30,-33.8667,121.9,59.92,67,4,11.18
21,Punta Arenas,CL,2022-10-18 00:24:00,-53.15,-70.9167,50.11,71,75,8.05
